ST_CASE,WEATHERNAME,YEAR
10001,Clear,2019
10002,Rain,2019
10003,Cloudy,2019
10004,Clear,2019
10005,"Fog, Smog, Smoke",2019
10006,Clear,2019
10007,Cloudy,2019
10008,Clear,2019
10009,Clear,2019
10010,Clear,2019
10011,Rain,2019
10012,Rain,2019
10013,Cloudy,2019
10014,Clear,2019
10015,Clear,2019
10016,Clear,2019
10017,Clear,2019
10018,Clear,2019
10019,Clear,2019
10020,Clear,2019
10021,Clear,2019
10022,Clear,2019
10023,Clear,2019
10024,Clear,2019
10025,Clear,2019
10026,Clear,2019
10027,Cloudy,2019
10028,Rain,2019
10029,Cloudy,2019
10030,Clear,2019
10031,Clear,2019
10032,Clear,2019
10033,Rain,2019
10034,Rain,2019
10035,Cloudy,2019
10036,Clear,2019
10037,Cloudy,2019
10038,Cloudy,2019
10039,Clear,2019
10040,Clear,2019
10041,Clear,2019
10042,Clear,2019
10043,Clear,2019
10044,Clear,2019
10045,Clear,2019
10046,Clear,2019
10047,Clear,2019
10048,Rain,2019
10049,Rain,2019
10050,Clear,2019
10051,Clear,2019
10052,Clear,2019
10053,Clear,2019
10054,Clear,2019
10055,Clear,2019
10056,Cloudy,2019
10057,Rain,2019
10058,Clear,2019
10059,Clear,2019
10060,Clear,2019
10061,Clear,2019
10062,Cloudy,2019
10063,Clear,2019
10064,Clear,2019
10065,Cloudy,2019
10066,Rain,2019
10067,"Fog, Smog, Smoke",2019
10068,Cloudy,2019
10069,Cloudy,2019
10070,Clear,2019
10071,Clear,2019
10072,Clear,2019
10073,Cloudy,2019
10074,Cloudy,2019
10075,Cloudy,2019
10076,Cloudy,2019
10077,Clear,2019
10078,Clear,2019
10079,Clear,2019
10080,Clear,2019
10081,Clear,2019
10082,Rain,2019
10083,Cloudy,2019
10084,Rain,2019
10085,Clear,2019
10086,Rain,2019
10087,Clear,2019
10089,Cloudy,2019
10090,Clear,2019
10091,Rain,2019
10092,Cloudy,2019
10093,Rain,2019
10094,Cloudy,2019
10095,Cloudy,2019
10096,Rain,2019
10097,Cloudy,2019
10098,Clear,2019
10099,Clear,2019
10100,Cloudy,2019
10101,Clear,2019
10102,Cloudy,2019
10103,Cloudy,2019
10104,Clear,2019
10105,Cloudy,2019
10106,"Fog, Smog, Smoke",2019
10107,Cloudy,2019
10108,Cloudy,2019
10109,Cloudy,2019
10110,Cloudy,2019
10111,Clear,2019
10112,Clear,2019
10113,Cloudy,2019
10114,Clear,2019
10115,Cloudy,2019
10116,Clear,2019
10117,Cloudy,2019
10118,Clear,2019
10119,Cloudy,2019
10120,Cloudy,2019
10121,Clear,2019
10122,Clear,2019
10123,Clear,2019
10124,Cloudy,2019
10125,Clear,2019
10126,Rain,2019
10127,Cloudy,2019
10128,Clear,2019
10129,Clear,2019
10130,Cloudy,2019
10131,Clear,2019
10132,Clear,2019
10133,Clear,2019
10134,Clear,2019
10135,Clear,2019
10136,Cloudy,2019
10137,Clear,2019
10138,Clear,2019
10139,Cloudy,2019
10140,Clear,2019
10141,Clear,2019
10142,Clear,2019
10143,Clear,2019
10144,Clear,2019
10145,Clear,2019
10146,Clear,2019
10147,Clear,2019
10148,Clear,2019
10149,Clear,2019
10150,Clear,2019
10151,Clear,2019
10152,Clear,2019
10153,Clear,2019
10154,Cloudy,2019
10156,Clear,2019
10157,Clear,2019
10158,Clear,2019
10159,Clear,2019
10160,Clear,2019
10161,Cloudy,2019
10162,Clear,2019
10163,Clear,2019
10164,Clear,2019
10165,Clear,2019
10166,Cloudy,2019
10168,Rain,2019
10169,Clear,2019
10170,Cloudy,2019
10171,Cloudy,2019
10172,Cloudy,2019
10173,Clear,2019
10174,Clear,2019
10175,Clear,2019
10176,Clear,2019
10177,Clear,2019
10178,Rain,2019
10179,Clear,2019
10180,Rain,2019
10181,Clear,2019
10182,Rain,2019
10183,Clear,2019
10184,Clear,2019
10185,Clear,2019
10186,Clear,2019
10187,Cloudy,2019
10188,Rain,2019
10189,Rain,2019
10190,Rain,2019
10191,Clear,2019
10192,Clear,2019
10193,Rain,2019
10195,Clear,2019
10196,Clear,2019
10197,Cloudy,2019
10198,Cloudy,2019
10199,Clear,2019
10200,Clear,2019
10201,Clear,2019
10202,Clear,2019
10203,Cloudy,2019
10204,Cloudy,2019
10205,Clear,2019
10206,Cloudy,2019
10207,Cloudy,2019
10208,Clear,2019
10209,Clear,2019
10210,Clear,2019
10211,Clear,2019
10212,Clear,2019
10213,Clear,2019
10214,Clear,2019
