ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,0,0,0,0,0,0,0,0,0,0
10002,0,0,0,0,0,0,0,0,0,0
10003,0,0,16,0,0,30,7,25,4,0
10004,0,0,0,0,0,0,0,0,0,0
10005,16,17,13,13,25,36,20,45,28,17
10006,0,19,0,3,0,0,0,0,0,0
10007,6,6,6,6,6,6,6,6,6,6
10008,27,27,27,27,27,27,27,27,27,27
10009,8,8,8,8,8,8,8,8,8,8
10010,0,0,14,0,0,0,9,16,0,0
10011,0,0,0,0,0,0,0,0,0,0
10012,16,16,16,16,16,16,16,16,16,16
10013,3,3,3,3,3,3,3,3,3,3
10014,0,0,0,0,0,0,0,0,0,0
10015,0,0,28,20,0,0,0,0,15,0
10016,22,24,0,21,0,0,10,0,14,20
10017,18,18,18,18,18,18,18,18,18,18
10018,0,0,0,0,0,0,0,0,0,0
10019,0,0,0,0,0,0,0,0,0,0
10020,2,2,2,2,2,2,2,2,2,2
10021,0,15,0,33,30,0,0,0,0,25
10022,0,0,0,0,0,0,0,0,0,0
10023,0,23,0,24,0,0,8,14,0,0
10024,23,23,23,23,23,23,23,23,23,23
10025,0,0,0,0,0,0,0,0,0,0
10026,0,0,0,0,0,0,0,0,0,0
10027,0,0,0,0,0,0,0,0,30,0
10028,0,0,0,0,0,0,0,0,0,0
10029,33,13,16,17,22,21,38,0,22,19
10030,0,0,0,0,0,0,0,0,0,0
10031,0,0,27,0,0,24,0,0,0,0
10032,0,8,0,0,0,0,0,0,0,0
10033,0,0,0,0,0,0,0,0,0,0
10034,0,0,0,0,0,0,0,0,0,0
10035,0,0,0,0,0,0,0,0,0,0
10036,15,15,15,15,15,15,15,15,15,15
10037,0,0,0,0,0,0,0,0,0,0
10038,12,12,12,12,12,12,12,12,12,12
10039,0,0,0,7,0,0,0,0,0,0
10040,0,9,10,6,0,0,0,0,15,0
10041,14,31,7,20,0,42,10,17,14,8
10042,0,0,0,0,0,0,0,0,0,0
10043,0,0,0,0,0,34,13,0,0,0
10044,0,0,0,0,0,0,0,0,0,0
10045,0,0,0,13,0,0,0,0,0,7
10046,0,0,0,0,0,0,11,0,0,0
10047,23,23,23,23,23,23,23,23,23,23
10048,0,0,0,30,0,0,0,16,0,19
10049,0,0,0,0,0,0,0,0,0,0
10050,0,0,0,0,0,0,0,0,0,0
10051,4,4,4,4,4,4,4,4,4,4
10053,0,0,0,0,0,0,0,0,0,0
10054,0,0,0,0,0,0,0,0,0,0
10055,7,8,18,0,0,0,0,7,20,18
10056,0,0,0,0,0,0,0,0,0,0
10057,15,15,15,15,15,15,15,15,15,15
10058,0,0,0,0,18,0,0,0,0,0
10059,0,0,0,0,0,0,0,0,0,24
10060,13,13,13,13,13,13,13,13,13,13
10061,0,0,0,0,0,0,0,0,0,0
10062,0,0,0,0,0,0,0,0,0,0
10063,0,0,0,0,0,0,0,0,0,0
10064,0,0,0,0,0,0,0,0,0,0
10065,15,14,4,7,24,2,23,31,21,18
10066,6,20,7,22,10,13,0,21,16,24
10067,0,0,0,0,0,0,0,0,0,0
10068,0,0,0,0,0,0,0,0,0,0
10069,14,14,14,14,14,14,14,14,14,14
10070,33,33,33,33,33,33,33,33,33,33
10071,0,0,0,0,0,0,0,0,0,0
10072,32,17,24,14,20,0,16,13,21,17
10073,0,0,0,0,0,0,0,0,0,0
10074,15,15,15,15,15,15,15,15,15,15
10075,0,0,0,0,0,0,0,0,0,0
10076,0,0,0,0,0,0,0,0,0,0
10077,17,17,17,17,17,17,17,17,17,17
10078,34,27,23,32,27,20,23,21,13,18
10079,9,0,0,0,0,0,4,0,12,0
10080,0,22,0,0,0,0,0,0,0,0
10081,0,0,0,0,0,0,0,0,0,0
10082,18,0,0,0,0,0,0,0,0,10
10083,14,14,14,14,14,14,14,14,14,14
10084,0,0,0,0,0,0,0,0,0,0
10085,0,0,0,0,0,0,0,0,0,0
10086,8,8,8,8,8,8,8,8,8,8
10087,0,0,0,0,0,0,0,0,0,0
10088,0,0,0,0,0,0,0,0,0,0
10089,0,0,9,0,0,18,0,0,0,0
10090,11,11,11,11,11,11,11,11,11,11
10091,15,0,0,23,9,2,0,0,0,15
10092,0,0,0,0,0,0,0,0,0,0
10093,1,1,1,1,1,1,1,1,1,1
10094,18,18,18,18,18,18,18,18,18,18
10095,0,0,0,0,0,0,0,0,0,16
10096,13,0,0,0,0,0,0,0,21,0
10097,8,0,19,0,19,0,16,0,11,8
10098,0,0,0,0,0,0,0,0,0,0
10099,0,0,0,0,0,0,0,0,0,0
10100,0,0,0,0,0,0,0,0,0,0
10101,12,12,12,12,12,12,12,12,12,12
10102,0,0,0,0,0,0,0,0,0,0
10103,17,17,17,17,17,17,17,17,17,17
10104,0,0,0,0,0,0,0,0,0,0
10105,0,0,20,0,0,0,0,15,0,17
10106,8,8,8,8,8,8,8,8,8,8
10107,0,0,0,0,0,0,0,0,0,0
10108,9,9,9,9,9,9,9,9,9,9
10110,13,13,13,13,13,13,13,13,13,13
10111,22,22,22,22,22,22,22,22,22,22
10112,0,0,0,0,0,0,0,0,0,0
10113,0,0,0,0,0,0,0,0,0,0
10114,8,8,8,8,8,8,8,8,8,8
10115,0,0,0,0,0,0,0,0,0,0
10116,21,0,15,5,15,14,0,20,17,0
10117,0,9,0,25,39,0,0,0,0,0
10118,0,0,0,0,0,0,0,0,0,0
10119,28,28,28,28,28,28,28,28,28,28
10120,0,3,0,29,20,0,28,0,0,0
10121,15,15,15,15,15,15,15,15,15,15
10122,14,14,14,14,14,14,14,14,14,14
10123,0,0,14,0,21,0,0,14,0,18
10124,0,0,0,18,0,0,0,0,0,0
10125,16,16,16,16,16,16,16,16,16,16
10126,0,0,0,0,9,15,29,15,26,27
10127,0,0,0,0,0,0,0,0,0,0
10128,0,13,0,0,0,0,17,0,0,0
10129,16,16,16,16,16,16,16,16,16,16
