STATE,STATENAME,ST_CASE,VEH_NO,TRAILER_NO,VEHICLEDESCRIPTOR,VINDECODEDON,VINDECODEERROR,VEHICLETYPEID,VEHICLETYPE
4,Arizona,40011,2,1,1UYVS248*AM******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40193,2,1,3H3V532C*8T******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40198,2,1,1UYVS253*EU******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40267,2,1,1PT011AH*W9******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40362,2,1,1GRAP561*GK******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40362,2,2,1JJV281D*NL******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40378,2,1,1RZ19F2C*E2******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40383,2,1,1UYVS253*J3******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40392,1,1,3H3V281C*GT******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40392,1,2,3H3V281C*JT******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40392,2,1,3H3V281C*JT******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40396,2,1,1DW1A532*1S******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40450,2,1,1UYVS253*J2******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40464,2,1,1UYVS253*K2******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40534,1,1,1UYVS253*DP******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40536,2,1,5V8VC532*JM******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40536,3,1,1GRAP062*ND******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40583,3,1,1GR1A062*NW******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40591,2,1,3H3V281C*DT******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40591,2,2,1DW1A281*XS******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40593,2,1,1TTF4820*V1******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40600,2,1,5V8VC532*NT******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40609,1,1,1UYVS253*K2******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40622,2,1,1JJV532D*HL******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40625,2,1,1JJV532W*YL******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40641,2,1,4LF4G482*X3******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40645,1,1,1UYVS253*7P******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40655,2,1,1GRAA062*CT******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40697,3,1,1UYVS253*H6******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40702,1,1,1GRAP062*EJ******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40758,1,1,1JJV532D*ML******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40758,2,1,1GR1P062*LK******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40770,2,1,1TTF4820*62******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40792,2,1,1GRAA062*KE******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40792,3,1,1JJV281W*6L******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40792,3,2,1GRAP561*CK******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40802,1,1,1UYVS253*L6******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40809,1,1,3H3V532C*KR******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,40834,3,1,7KB1E101*PT******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,41098,1,1,1UYVS253*J2******,2023-09-15 02:07:06,0,6,TRAILER
4,Arizona,41098,2,1,1UYVS253*AP******,2023-09-15 02:07:06,0,6,TRAILER
