ST_CASE,WEATHERNAME
10001,Clear
10002,Rain
10003,Cloudy
10004,Clear
10005,"Fog, Smog, Smoke"
10006,Clear
10007,Cloudy
10008,Clear
10009,Clear
10010,Clear
10011,Rain
10012,Rain
10013,Cloudy
10014,Clear
10015,Clear
10016,Clear
10017,Clear
10018,Clear
10019,Clear
10020,Clear
10021,Clear
10022,Clear
10023,Clear
10024,Clear
10025,Clear
10026,Clear
10027,Cloudy
10028,Rain
10029,Cloudy
10030,Clear
10031,Clear
10032,Clear
10033,Rain
10034,Rain
10035,Cloudy
10036,Clear
10037,Cloudy
10038,Cloudy
10039,Clear
10040,Clear
10041,Clear
10042,Clear
10043,Clear
10044,Clear
10045,Clear
10046,Clear
10047,Clear
10048,Rain
10049,Rain
10050,Clear
10051,Clear
10052,Clear
10053,Clear
10054,Clear
10055,Clear
10056,Cloudy
10057,Rain
10058,Clear
10059,Clear
10060,Clear
10061,Clear
10062,Cloudy
10063,Clear
10064,Clear
10065,Cloudy
10066,Rain
10067,"Fog, Smog, Smoke"
10068,Cloudy
10069,Cloudy
10070,Clear
10071,Clear
10072,Clear
10073,Cloudy
10074,Cloudy
10075,Cloudy
10076,Cloudy
10077,Clear
10078,Clear
10079,Clear
10080,Clear
10081,Clear
10082,Rain
10083,Cloudy
10084,Rain
10085,Clear
10086,Rain
10087,Clear
10089,Cloudy
10090,Clear
10091,Rain
10092,Cloudy
10093,Rain
10094,Cloudy
10095,Cloudy
10096,Rain
10097,Cloudy
10098,Clear
10099,Clear
10100,Cloudy
10101,Clear
10102,Cloudy
10103,Cloudy
10104,Clear
10105,Cloudy
10106,"Fog, Smog, Smoke"
10107,Cloudy
10108,Cloudy
10109,Cloudy
10110,Cloudy
10111,Clear
10112,Clear
10113,Cloudy
10114,Clear
10115,Cloudy
10116,Clear
10117,Cloudy
10118,Clear
10119,Cloudy
10120,Cloudy
10121,Clear
10122,Clear
10123,Clear
10124,Cloudy
10125,Clear
10126,Rain
10127,Cloudy
10128,Clear
10129,Clear
10130,Cloudy
10131,Clear
10132,Clear
10133,Clear
10134,Clear
10135,Clear
10136,Cloudy
10137,Clear
10138,Clear
10139,Cloudy
10140,Clear
10141,Clear
10142,Clear
10143,Clear
10144,Clear
10145,Clear
10146,Clear
10147,Clear
10148,Clear
10149,Clear
10150,Clear
10151,Clear
10152,Clear
10153,Clear
10154,Cloudy
10156,Clear
10157,Clear
10158,Clear
10159,Clear
10160,Clear
10161,Cloudy
10162,Clear
10163,Clear
10164,Clear
10165,Clear
10166,Cloudy
10168,Rain
10169,Clear
10170,Cloudy
10171,Cloudy
10172,Cloudy
10173,Clear
10174,Clear
10175,Clear
10176,Clear
10177,Clear
10178,Rain
10179,Clear
10180,Rain
10181,Clear
10182,Rain
10183,Clear
10184,Clear
10185,Clear
10186,Clear
10187,Cloudy
10188,Rain
10189,Rain
10190,Rain
10191,Clear
10192,Clear
10193,Rain
10195,Clear
10196,Clear
10197,Cloudy
10198,Cloudy
10199,Clear
10200,Clear
10201,Clear
10202,Clear
10203,Cloudy
10204,Cloudy
10205,Clear
10206,Cloudy
10207,Cloudy
10208,Clear
10209,Clear
10210,Clear
10211,Clear
10212,Clear
10213,Clear
10214,Clear
10215,Clear
10216,Clear
10217,Cloudy
10218,Clear
10219,Clear
10220,Clear
10221,Clear
10222,Cloudy
10223,Cloudy
10224,Clear
10225,Clear
10226,Clear
10227,Clear
10228,Clear
10229,Clear
10230,Clear
10231,Clear
10232,Clear
10233,Cloudy
10234,Clear
10235,Clear
10236,Clear
10237,Clear
10238,Clear
10239,Clear
10240,Clear
10241,Clear
10242,Clear
10243,Clear
10244,Clear
10245,Clear
10246,Clear
10247,Clear
10248,Cloudy
10249,Cloudy
10250,Clear
10251,Rain
10252,Clear
10253,Rain
10254,Cloudy
10255,Clear
10256,Clear
10257,Clear
10258,Clear
10259,Clear
10260,Cloudy
10261,Clear
10262,Rain
10263,Clear
10264,Cloudy
10265,Rain
10266,Cloudy
10267,Clear
10268,Clear
10269,Clear
10270,Clear
10271,Clear
10272,Clear
10273,Cloudy
10274,Clear
10275,Clear
10276,Clear
10277,Clear
10278,Clear
10279,Clear
10280,Clear
10281,Clear
10282,Rain
10283,Clear
10284,Clear
10285,Clear
10286,Clear
10287,Clear
10288,Clear
10289,Clear
10290,Cloudy
10291,Clear
10292,Clear
10293,Clear
10294,Clear
10295,Clear
10296,Clear
10297,Clear
10298,Clear
10299,Clear
10300,Cloudy
10301,Clear
10302,Clear
10303,Clear
10304,Cloudy
10305,Clear
10306,Clear
10307,Clear
10308,Clear
10309,Clear
10310,Clear
10311,Clear
10312,Clear
10313,Clear
10314,Clear
10315,Clear
10316,Clear
10317,Cloudy
10318,Clear
10319,Clear
10320,Clear
10321,Clear
10322,Clear
10323,Clear
10324,Clear
10325,Clear
10326,Rain
10327,Rain
10328,Cloudy
10329,Clear
10330,Reported as Unknown
10331,Cloudy
10332,Rain
10333,Cloudy
10334,Cloudy
10335,Rain
10336,Rain
10337,Clear
10338,Clear
10339,Clear
10340,Clear
10341,Clear
10342,Clear
10343,Rain
10344,Clear
10345,Clear
10346,Clear
10347,Clear
10348,Rain
10349,Clear
10350,Clear
10351,Cloudy
10352,Cloudy
10353,Cloudy
10354,Clear
10355,Cloudy
10356,Clear
10357,Clear
10358,Clear
10359,Rain
10360,Cloudy
10361,Clear
10362,Clear
10363,Clear
10364,Clear
10365,Rain
10366,Clear
10367,Clear
10368,Clear
10369,Rain
10370,Clear
10371,Cloudy
10372,Clear
10373,Clear
10374,Clear
10375,Cloudy
10376,Clear
10377,Clear
10378,Clear
10379,Clear
10380,Cloudy
10381,Cloudy
10382,Cloudy
10383,Clear
10384,Cloudy
10385,Clear
10386,Clear
10387,Clear
10388,Cloudy
10389,Clear
10390,Clear
10391,Cloudy
10392,Clear
10393,Clear
10394,Cloudy
10395,Clear
10396,Clear
10397,Clear
10398,Clear
10399,Clear
10400,Cloudy
10401,Clear
10402,Clear
10403,Clear
10404,Clear
10405,Clear
10406,Clear
10407,Clear
10408,Clear
10409,Rain
10410,Clear
10411,Clear
10412,Clear
10413,Clear
10414,Cloudy
10415,Clear
10416,Cloudy
10417,Cloudy
10418,Clear
10419,Cloudy
10420,Clear
10421,Clear
10422,Cloudy
10423,Clear
10424,Cloudy
10425,Rain
10426,Cloudy
10427,Clear
10428,Clear
10429,Clear
10430,Rain
10431,Clear
10432,Clear
10433,Clear
10434,Clear
10435,Clear
10436,Clear
10437,Clear
10438,Clear
10439,Clear
10440,Clear
10441,Clear
10442,"Fog, Smog, Smoke"
10443,Clear
10444,Cloudy
10445,Clear
10446,Clear
10447,Cloudy
10448,Clear
10449,Cloudy
10450,Clear
10451,Cloudy
10452,Clear
10453,Clear
10454,Rain
10455,Cloudy
10456,Cloudy
10457,Clear
10458,Clear
10459,Clear
10460,Clear
10461,Clear
10462,Clear
10463,Cloudy
10464,Clear
10465,Clear
10466,Clear
10467,Clear
10468,Clear
10469,Clear
10470,Rain
10471,Clear
10472,Cloudy
10473,Clear
10474,Rain
10475,Cloudy
10476,Clear
10477,Clear
10478,Cloudy
10479,Clear
10480,Clear
10481,Cloudy
10482,Clear
10483,Clear
10484,Clear
10485,Clear
10486,Clear
10487,Clear
10488,Clear
10489,Clear
10490,Clear
10491,Clear
10492,Rain
10493,Clear
10494,Cloudy
10495,Clear
10496,Clear
10497,Clear
10498,Clear
10499,Clear
10500,Clear
10501,Cloudy
10502,Rain
10503,Clear
10504,Clear
10505,Clear
10506,Clear
10507,Clear
10508,Clear
10509,Cloudy
10511,Clear
10512,Cloudy
10513,Rain
10514,Rain
10515,Cloudy
10516,Clear
10518,Clear
10519,Clear
10520,Cloudy
10521,Clear
10522,Clear
10523,Cloudy
10524,Clear
10525,Clear
10526,Clear
10527,Clear
10528,Clear
10529,Clear
10530,Clear
10531,Clear
10532,Clear
10533,Clear
10534,Clear
10535,Clear
10536,Clear
10537,Clear
10538,Clear
10539,Rain
10540,Clear
10541,Clear
10542,Clear
10543,Clear
10544,Clear
10545,Clear
10546,Clear
10547,Rain
10548,Clear
10549,Clear
10550,Clear
10551,Clear
10552,Clear
10553,Clear
10554,Clear
10555,Clear
10556,Clear
10557,Clear
10558,Clear
10559,Clear
10560,Clear
10561,Clear
10562,Clear
10563,Clear
10564,Clear
10565,Clear
10566,Clear
10567,Clear
10569,Clear
10570,Clear
10571,Clear
10572,Clear
10573,Clear
10574,Clear
10575,Cloudy
10576,Clear
10577,Clear
10578,Clear
10579,Clear
10580,Clear
10581,Clear
10582,Clear
10583,Clear
10584,Clear
10585,Clear
10586,Clear
10587,Clear
10588,Clear
10589,Clear
10590,Clear
10591,Clear
10592,Clear
10593,Clear
10594,Clear
10595,Clear
10596,Clear
10597,Cloudy
10598,Clear
10599,Clear
10600,Clear
10601,Clear
10602,Clear
10603,Clear
10604,Clear
10605,Clear
10606,Clear
10607,Clear
10608,Clear
10609,Clear
10610,Clear
10611,Rain
10612,Clear
10613,Clear
10614,Clear
10615,Clear
10616,Clear
10617,Clear
10618,Clear
10619,Clear
10620,Clear
10622,Rain
10623,Clear
10624,Clear
10625,Clear
10626,Clear
10627,Cloudy
10628,Clear
10629,Clear
10630,Clear
10631,Clear
10632,Clear
10633,Clear
10634,Clear
10635,Clear
10636,Clear
10637,Clear
10638,Clear
10639,Clear
10640,Clear
10641,Clear
10642,Clear
10643,Clear
10644,Clear
10645,Cloudy
10646,Clear
10647,Clear
10648,Clear
10649,Clear
10650,Clear
10651,Clear
10652,Clear
10653,Clear
10654,Clear
10655,Clear
10656,Clear
10657,Cloudy
10658,Clear
10659,Clear
10660,Clear
10661,Clear
10662,Cloudy
10663,Clear
10664,Cloudy
10665,Cloudy
10666,Clear
10667,Rain
10668,Cloudy
10669,Cloudy
10670,Clear
10671,Clear
10672,Clear
10673,Clear
10674,Clear
10675,Cloudy
10676,Clear
10677,Clear
10678,Clear
10679,Clear
10680,Rain
10681,Rain
10682,Rain
10683,Clear
10684,Clear
10685,Clear
10686,Clear
10687,Clear
10688,Rain
10689,Rain
10690,Rain
10691,Rain
10692,Rain
10693,Cloudy
10694,Rain
10695,Rain
10696,Clear
10697,Rain
10698,Clear
10699,Clear
10700,Clear
10701,Rain
10702,Rain
10703,Clear
10704,Rain
10705,Rain
10706,Rain
10707,Rain
10708,Clear
10709,Clear
10710,Clear
10711,Clear
10712,Clear
10713,Clear
10714,Clear
10715,Cloudy
10716,Clear
10717,Clear
10718,Clear
10719,Clear
10720,Clear
10721,Cloudy
10722,Clear
10723,Cloudy
10724,Clear
10725,Clear
10726,Clear
10727,Clear
10728,Clear
10729,Clear
10730,Clear
10731,Cloudy
10732,Rain
10733,Clear
10734,Cloudy
10735,Clear
10736,Clear
10737,Clear
10738,Clear
10739,Clear
10740,Clear
10741,Cloudy
10742,Clear
10743,Cloudy
10744,Clear
10745,Clear
10746,Clear
10747,Clear
10748,Cloudy
10749,Clear
10751,Clear
10752,Rain
10753,Clear
10754,Clear
10755,Clear
10756,Cloudy
10757,Not Reported
10758,Clear
10759,Clear
10760,Clear
10761,Clear
10762,Cloudy
10763,Cloudy
10764,Clear
10765,Clear
10766,Clear
10767,Clear
10768,Clear
10769,Clear
10770,Cloudy
10771,Clear
10772,Clear
10773,Clear
10774,Rain
10775,Clear
10776,Clear
10777,Clear
10778,Rain
10779,Cloudy
10780,Clear
10781,Cloudy
10782,Clear
10783,Clear
10784,Clear
10785,Clear
10786,Clear
10787,Clear
10788,Clear
10789,Clear
10790,Clear
10791,Clear
10792,Cloudy
10793,Clear
10794,Clear
10795,Clear
10796,Reported as Unknown
10797,Clear
10798,Clear
10799,Rain
10800,Clear
10801,Clear
10802,Clear
10803,Clear
10804,Clear
10805,Clear
10806,Clear
10807,Clear
10808,Clear
10809,Clear
10810,Cloudy
10811,Cloudy
10812,Rain
10813,"Fog, Smog, Smoke"
10814,Clear
10815,Cloudy
10816,Clear
10817,Cloudy
10818,Cloudy
10819,Clear
10820,Cloudy
10821,Cloudy
10822,Clear
10823,Clear
10824,Clear
10825,Clear
10826,Clear
10827,Clear
10828,Clear
10829,Clear
10830,Clear
10831,Clear
10832,Clear
10833,Rain
10834,Rain
10835,Rain
10836,Rain
10837,Rain
10838,Clear
10839,Clear
10840,Clear
10841,Clear
10842,Clear
10843,Rain
10844,Rain
10845,Rain
10846,Clear
10847,Rain
10848,Clear
10849,Rain
10850,Clear
10851,Clear
10852,Clear
10853,Clear
10854,Clear
10855,Clear
10856,Clear
10857,Cloudy
10858,Cloudy
10859,Cloudy
10860,Clear
10861,Clear
10862,Clear
10863,Clear
10864,Cloudy
10865,Clear
20001,Clear
20002,Snow
20003,Clear
20004,Clear
20005,Clear
20006,Reported as Unknown
20007,Snow
20008,Clear
20010,Clear
20011,Snow
20012,Cloudy
20013,Cloudy
20014,Cloudy
20015,Clear
20016,Clear
20017,Clear
20018,Cloudy
20019,Clear
20021,Clear
20022,Cloudy
20023,Cloudy
20024,Cloudy
20025,Cloudy
20026,Clear
20029,Clear
20030,Clear
20031,Clear
20032,Clear
20033,Clear
20034,Cloudy
20035,Clear
20036,Clear
20037,Clear
20038,Clear
20039,Cloudy
20040,Clear
20041,Clear
20042,Not Reported
20043,Clear
20044,Clear
20045,Clear
20046,Snow
20047,Clear
20048,Clear
20049,Cloudy
20050,Clear
20051,Rain
20052,Rain
20054,Clear
20055,Cloudy
20056,Snow
20057,Rain
20058,Snow
20059,Snow
20060,Severe Crosswinds
20061,Clear
20062,Cloudy
20063,Clear
20064,Clear
20065,Blowing Snow
20066,Snow
20067,Rain
40001,Clear
40002,Clear
40003,Clear
40004,Cloudy
40005,Clear
40006,Clear
40007,Clear
40008,Cloudy
40009,Clear
40010,Clear
40011,Clear
40012,Cloudy
40014,Cloudy
40015,Clear
40016,Clear
40017,Clear
40018,Clear
40019,Clear
40020,Clear
40021,Clear
40022,Rain
40023,Cloudy
40024,Clear
40025,Clear
40026,Cloudy
40027,Cloudy
40028,Clear
40029,Clear
40030,Clear
40031,Clear
40032,Sleet or Hail
40033,Cloudy
40034,Clear
40035,Clear
40036,Cloudy
40037,Clear
40038,Clear
40039,Clear
40040,Clear
40041,Clear
40042,Clear
40043,Clear
40044,Clear
40045,Clear
40046,Clear
40047,Clear
40048,Clear
40049,Clear
40050,Clear
40051,Clear
40052,Rain
40053,Clear
40054,Cloudy
40055,Reported as Unknown
40056,Cloudy
40057,Clear
40058,Not Reported
40059,Clear
40060,Clear
40061,Clear
40062,Not Reported
40063,Clear
40064,Clear
40065,Clear
40066,Clear
40067,Clear
40068,Rain
40069,Cloudy
40070,Clear
40071,Clear
40072,Clear
40073,Clear
40074,Clear
40075,Clear
40076,Clear
40077,Clear
40078,Cloudy
40079,Clear
40080,Rain
40081,Clear
40082,Cloudy
40083,Cloudy
40084,Clear
40085,Clear
40086,Clear
40087,Clear
40088,Not Reported
40089,Clear
40090,Cloudy
40091,Clear
40092,Clear
40093,Clear
40094,Cloudy
40095,Rain
40096,Clear
40097,Clear
40098,Clear
40099,Clear
40100,Clear
40101,Cloudy
40102,Cloudy
40103,Clear
40104,Clear
40105,Clear
40106,Clear
40107,Cloudy
40108,Rain
40109,Rain
40110,Snow
40111,Snow
40112,Clear
40113,Clear
40114,Clear
40115,Clear
40116,Cloudy
40117,Clear
40118,Clear
40120,Clear
40121,Clear
40122,Clear
40123,Clear
40124,Clear
40125,Clear
40126,Cloudy
40127,Clear
40128,Clear
40129,Rain
40130,Clear
40131,Clear
40132,Cloudy
40133,Clear
40134,Clear
40135,Clear
40136,Clear
40137,Clear
40138,Cloudy
40139,Clear
40140,Clear
40141,Clear
40142,Clear
40143,Clear
40144,Clear
40145,Clear
40146,Clear
40147,Clear
40148,Clear
40149,Clear
40150,Clear
40151,Clear
40152,Clear
40153,Clear
40154,Clear
40155,Clear
40156,Clear
40157,Clear
40158,Clear
40159,Clear
40160,Clear
40161,Clear
40162,Clear
40163,Clear
40164,Clear
40165,Clear
40166,Clear
40167,Rain
40168,Not Reported
40169,Rain
40170,Clear
40171,Clear
40172,Cloudy
40173,Rain
